"rbr","name","date","stars","review","lang","thumb","reply"
65,"ÿystein R. Berg",2020-04-27,5," A very good and (not least) updated Maps and navigation app. In my experience the Maps in HERE WeGo is much more up to date than the other ""big"" map services. Way to go HERE WeGo","en",4,NA
66,"ozors 2",2020-05-21,5," Absolutely brilliant, as delivery driver this app is a must","en",0,NA
67,"Howard Tri",2020-05-23,5," Finally a free map without changing. No nonsense navigation. I support 100%","en",0,NA
68,"Neil Sleeman-smith",2020-04-08,3," Good app with one exeption. It needs a feature to run the voice derections via Bluetooth like a phone call. So I cuts in over your music. Cannot hear it otherwise","en",2,NA
69,"Eli Al",2020-04-18,3," Very reliable but needs improvement like when you arrive your location it needs to say or tell you wich side of the street left or right side of the street","en",1,NA
70,"HARMAN LIN",2020-05-02,5," I don't know who created this Apps, I think it's the best. I have paid Sygic, free Maps.me, etc. But this Here we go really impressive with its off-line (walking & driving) without data. ü","en",2,NA
71,"Joseph Monzo",2020-04-22,1," I used to love this app. But now it will not open with location turned off, which is how my device stays. So now it is completely useless.","en",1,NA
72,"Romeo Casurao",2020-04-28,3," It keep frozen up I downloaded the offline maps Installed it in storage microSD Can anyone help me solved this I did try to reinstall this app and reset my phone It's the same problem in my other phone also","en",1,NA
73,"rikki wei",2020-04-27,5," Excellent app, even better than Google Map. It showings all options for different transport. Definitely I will recommend to my friends. üëç","en",1,NA
74,"ghulam huusain",2020-06-01,5," I am very happy for this here app,and very helpful.","en",0,NA
75,"Kobus van der Walt",2020-04-20,4," Great App, BUT it is lacking the second most important function of a GPS - the speed at which you are traveling","en",2,NA
76,"Karl Frohlich",2020-04-27,5," The very best design, very up to date maps available offline. Very happy!!","en",4,NA
77,"la ki",2020-06-06,5," wonderful, error-free, easy to use","en",0,NA
78,"John Roche",2020-05-16,5," Excellent app, accurate precise instructions, does everything I need.","en",0,NA
79,"Nasala Suwal",2020-05-22,1," The location must be exact which i dont get in this map regarding the world's tallest peak Mt. Everest. Thank you!","en",0,NA
80,"Kluk Ztopolovky",2020-04-22,5," I am used to this app from the old Nokia days. It works great and I am happy to be able to download it again to my new LG phone.","en",5,NA
81,"Peter Amabile",2020-05-10,5," Very intuitive. Would love to see 'avoid tolls' in settings.","en",2,NA
82,"uguraj u jarugu",2020-03-18,1," Used this app for years. Now it just shows waiting for gps and cant follow you when you start the guidance.","en",5,NA
83,"Fortune Mncube",2020-03-25,5," Excellent it picks up addresses which other offline maps dont keep it up can you just tey to be specify home address .keep.it up great work.l.encourage a lot to download","en",8,NA
84,"Brandy Heng",2020-04-28,3," Here WeGo got ""Waiting GPS"" error message , but using Google Map or Waze , there is no problem","en",3,NA
85,"Aazim Ahamed",2020-05-05,5," Better alternative for most of the map services, and have speed limits and warnings as well","en",2,NA
86,"Richard DuBord",2020-03-22,1," 'Waiting for GPS' on Samsung Galaxy s10, yet it never finds GPS, please fix this, love the app but can't use it","en",6,NA
87,"Obiwan Ian",2020-03-18,5," THE BEST. *If your phone meet problems, upgrade it up. Y'all phone too slow to perform these app smoothly.","en",3,NA
88,"Gen gar",2020-04-13,5," The absolute best navigation app out there (especially because of the well thought offline navigation! Saved my butt countless times :D","en",5,NA
89,"Amin Khan",2020-04-07,2," Not good for me, Pakistan map is not available for download for offline service.","en",1,NA
90,"Kevin Peacock",2020-05-22,5," Easy to use and is current.","en",0,NA
91,"Designer Outlet",2020-05-17,1," Instant crash complaining about missing sdcard. Useless. Sorry!","en",4,NA
92,"pratap rai",2020-05-11,5," Better than google map. Keep growing up.üëçüëçüëç I love this app.??? Than","en",1,NA
93,"Laurent Rivalin",2020-04-24,1," Not working at all. ""No route was found, we dont know why. Maybe too much water on the way."" I was looking for driving direction to to my local bakery. Fail.","en",2,NA
94,"Ulf Hammarqvist",2020-04-22,1," Car navigation no longer works. Please fix, used to be a great alternative to google","en",2,NA
95,"Patrick Scalzo",2020-06-07,5," Excellent app by far the best but is it compatible Android auto Wireless/mirroring? Tks","en",0,NA
96,"Harish K",2020-03-17,1," App cannot show more than 3 information in the bottom navigation screen.. Here WeGo doesn't bother to include this functionality..","en",6,NA
97,"Lagoon Fish",2020-03-31,3," Works as very basic offline map and navigation tool, but the UI design is extremely dated. Is the app being updated anymore?!","en",2,NA
98,"Ternei Norbert",2020-06-07,1," Horrible route suggestions. It makes quick trips really long.","en",0,NA
99,"Mehraj Shaikh",2020-04-25,2," There are bugs however need to be fixed asap I hope developer is listening to our feedback if it do so then this app will be a great alternative ","en",0,NA
100,"Hendy Lee",2020-04-29,5," Easy to use, fluid and it doesn't take much RAM.","en",4,NA
101,"Istv·n Ujj-MÈsz·ros",2020-03-30,5," The only app where the offline maps are really up-to-date.","en",3,NA
102,"tyson phat",2020-04-28,2," It said work offline, but it always asking to turn on internet when i tried to disconnect.","en",1,NA
103,"Zobel Razalan",2020-03-18,2," Update please,, offline map search location is wrong,, need to calibrate your map on the latest update","en",2,NA
104,"james289 W",2020-04-26,5," Excellent navigation with useful triffic info. You have the choice to select routes","en",3,NA
105,"Nat R",2020-04-29,1," It is really slow compared to the competition and todays news about Huawei gave me the go ahead to uninstall.","en",0,NA
106,"Anonn muss",2020-03-17,5," I use offline most, works great out in the wad of the wildness / gravel roads thanks guys!","en",5,NA
107,"???? ???????",2020-03-30,4," Great app uses less data when using offline maps bring dark theme in settings page","en",1,NA
108,"Rob Lorinser",2020-03-29,5," As a taxi man this comes in handy at night when you can't see the numbers on houses brings you straight to the point top notch app","en",2,NA
109,"shoohaaz tanha",2020-04-25,1," This software is very old, that is, it has not been updated for fifteen years. Please update.","en",2,NA
110,"Ibrahim Gazi",2020-03-29,5," This is so helpful then another's map... I just love it becoasue I need it in my everyday works..","en",3,NA
111,"Manish G",2020-05-02,2," After recent maps update.... Here wego App is crashing frequently.","en",3,NA
112,"MieKie Lie",2020-05-08,5," I like the public transport info, very useful","en",2,NA
113,"paris France",2020-03-18,1," No good. GPS always down, gives the wrong direction","en",2,NA
114,"Wissam Abdelhafez",2020-04-29,3," Train and public transport schedules can't be found.","en",1,NA
