"week_cut","pred","year","week","low","high","app"
2021-03-08,2.88462110938067,2021,10,6.23554741811951,2.88462110938067,"3"
2021-03-15,23.8376845730078,2021,11,23.8376845730078,23.8376845730078,"3"
2021-03-22,32.2781888978834,2021,12,32.2781888978834,32.2781888978834,"3"
2021-03-29,10.3839308241004,2021,13,10.3839308241004,10.3839308241004,"3"
2021-04-05,23.4002891885604,2021,14,23.4002891885604,23.4002891885604,"3"
2021-04-12,22.0574508334379,2021,15,22.0574508334379,22.0574508334379,"3"
2021-04-19,10.2807165148843,2021,16,13.7698780913753,10.2807165148843,"3"
2021-04-26,21.7823190792266,2021,17,21.7823190792266,21.7823190792266,"3"
2021-05-03,25.3354661191725,2021,18,25.3354661191725,25.3354661191725,"3"
2021-05-10,26.3816982685564,2021,19,26.3816982685564,26.3816982685564,"3"
2021-05-17,20.0933609622062,2021,20,20.0933609622062,20.0933609622062,"3"
2021-05-24,32.5987341233847,2021,21,32.5987341233847,32.5987341233847,"3"
2021-05-31,21.8486220665007,2021,22,21.8486220665007,21.8486220665007,"3"
2021-06-07,27.9045265789729,2021,23,27.9045265789729,27.9045265789729,"3"
2021-06-14,3.08021530795827,2021,24,3.08021530795827,3.08021530795827,"3"
2020-06-15,5.50967846484217,2020,24,5.50967846484217,5.50967846484217,"4"
2020-06-22,5.72819822617553,2020,25,6.3550586765141,5.72819822617553,"4"
2020-06-29,2.03932194614304,2020,26,3.314015342531,2.03932194614304,"4"
2020-07-06,-0.796433825127014,2020,27,3.12303459589532,-0.796433825127014,"4"
2020-07-13,6.55228406883435,2020,28,6.55228406883435,6.55228406883435,"4"
2020-07-20,3.15505223095361,2020,29,3.59527094438232,3.15505223095361,"4"
2020-07-27,0.771434531068832,2020,30,2.03963593134719,0.771434531068832,"4"
2020-08-03,0.65858528346065,2020,31,2.08471955687343,0.65858528346065,"4"
2020-08-10,2.15276079398667,2020,32,3.19446042220448,2.15276079398667,"4"
2020-08-17,4.63818160211756,2020,33,4.97505474331623,4.63818160211756,"4"
2020-08-24,3.6446008304198,2020,34,3.98770570852983,3.6446008304198,"4"
2020-08-31,2.88431510419214,2020,35,4.44173234157249,2.88431510419214,"4"
2020-09-07,-2.09162673005017,2020,36,1.14889777185969,-2.09162673005017,"4"
2020-09-14,-2.43620348739207,2020,37,0.987420375735081,-2.43620348739207,"4"
2020-09-21,-0.814404737223379,2020,38,1.61296430525439,-0.814404737223379,"4"
