"day_cut","sentiment","year","day","app"
2016-09-11,0.28,2016,11,"2"
2016-09-12,0.26,2016,12,"2"
2016-09-13,0.21,2016,13,"2"
2016-09-14,0.18,2016,14,"2"
2016-09-15,0.23,2016,15,"2"
2016-09-16,0.06,2016,16,"2"
2016-09-17,0.2,2016,17,"2"
2016-09-18,0.15,2016,18,"2"
2016-09-19,0.08,2016,19,"2"
2016-09-20,0.18,2016,20,"2"
2016-09-21,0.2,2016,21,"2"
2016-09-22,0.3,2016,22,"2"
2016-09-23,0.2,2016,23,"2"
2016-09-24,0.18,2016,24,"2"
2016-09-25,0.26,2016,25,"2"
2016-09-26,0.28,2016,26,"2"
2016-09-27,0.19,2016,27,"2"
2016-09-28,0.32,2016,28,"2"
2016-09-29,0.25,2016,29,"2"
2016-09-30,0.16,2016,30,"2"
2016-10-01,0.19,2016,1,"2"
2016-10-02,0.43,2016,2,"2"
2016-10-03,0.02,2016,3,"2"
2016-10-04,0.33,2016,4,"2"
2016-10-05,0.07,2016,5,"2"
2016-10-06,0.07,2016,6,"2"
2016-10-07,0.28,2016,7,"2"
2016-10-08,0.4,2016,8,"2"
2016-10-09,0.15,2016,9,"2"
2016-10-10,-0.02,2016,10,"2"
2016-10-11,0.28,2016,11,"2"
2016-10-12,0.11,2016,12,"2"
2016-10-13,0.03,2016,13,"2"
2016-10-14,0,2016,14,"2"
2016-10-15,0.09,2016,15,"2"
2016-10-16,0.02,2016,16,"2"
2016-10-17,0.23,2016,17,"2"
2016-10-18,0.28,2016,18,"2"
2016-10-19,0.35,2016,19,"2"
2016-10-20,-0.03,2016,20,"2"
2016-10-21,0.45,2016,21,"2"
2016-10-22,0.19,2016,22,"2"
2016-10-23,0.33,2016,23,"2"
2016-10-24,0.48,2016,24,"2"
2016-10-25,0.2,2016,25,"2"
2016-10-26,0.35,2016,26,"2"
2016-10-27,0.36,2016,27,"2"
2016-10-28,0.1,2016,28,"2"
2016-10-29,0.22,2016,29,"2"
2016-10-30,0.24,2016,30,"2"
2016-10-31,0.19,2016,31,"2"
2016-11-01,0.38,2016,1,"2"
2016-11-02,0.11,2016,2,"2"
2016-11-03,0.21,2016,3,"2"
2016-11-04,-0.02,2016,4,"2"
2016-11-05,0.23,2016,5,"2"
2016-11-06,0.17,2016,6,"2"
2016-11-07,0.15,2016,7,"2"
2016-11-08,0.31,2016,8,"2"
2016-11-09,0.16,2016,9,"2"
2016-11-10,0.21,2016,10,"2"
2016-11-11,0.36,2016,11,"2"
2016-11-12,-0.08,2016,12,"2"
2016-11-13,0.21,2016,13,"2"
2016-11-14,0.33,2016,14,"2"
2016-11-15,0.37,2016,15,"2"
2016-11-16,0.33,2016,16,"2"
2016-11-17,0.2,2016,17,"2"
2016-11-18,0.09,2016,18,"2"
2016-11-19,0.12,2016,19,"2"
2016-11-20,0.41,2016,20,"2"
2016-11-21,0.14,2016,21,"2"
2016-11-22,0.32,2016,22,"2"
2016-11-23,0.23,2016,23,"2"
2016-11-24,0.06,2016,24,"2"
2016-11-25,0.18,2016,25,"2"
2016-11-26,0.34,2016,26,"2"
2016-11-27,0.24,2016,27,"2"
2016-11-28,0.07,2016,28,"2"
2016-11-29,0.12,2016,29,"2"
2016-11-30,0.31,2016,30,"2"
2016-12-01,0.21,2016,1,"2"
2016-12-02,0.34,2016,2,"2"
2016-12-03,0.25,2016,3,"2"
2016-12-04,0.14,2016,4,"2"
2016-12-05,0.21,2016,5,"2"
2016-12-06,0.33,2016,6,"2"
2016-12-07,0.26,2016,7,"2"
2016-12-08,0.14,2016,8,"2"
2016-12-09,0.26,2016,9,"2"
2016-12-10,0.1,2016,10,"2"
2016-12-11,0.27,2016,11,"2"
2016-12-12,-0.18,2016,12,"2"
2016-12-13,-0.03,2016,13,"2"
2016-12-14,-0.05,2016,14,"2"
2016-12-15,0.34,2016,15,"2"
2016-12-16,0.27,2016,16,"2"
2016-12-17,0.11,2016,17,"2"
2016-12-18,0.89,2016,18,"2"
2016-12-19,-0.09,2016,19,"2"
2016-12-20,0.09,2016,20,"2"
2016-12-21,0.21,2016,21,"2"
2016-12-22,0.14,2016,22,"2"
2016-12-23,0.14,2016,23,"2"
2016-12-24,0.16,2016,24,"2"
2016-12-25,0.41,2016,25,"2"
2016-12-26,0.18,2016,26,"2"
2016-12-27,0.33,2016,27,"2"
2016-12-28,0.11,2016,28,"2"
2016-12-29,0.29,2016,29,"2"
2016-12-30,0.17,2016,30,"2"
2016-12-31,0.06,2016,31,"2"
2017-01-01,0.19,2017,1,"2"
2017-01-02,0.16,2017,2,"2"
2017-01-03,0.69,2017,3,"2"
2017-01-04,0.34,2017,4,"2"
2017-01-05,0.28,2017,5,"2"
2017-01-06,0.08,2017,6,"2"
2017-01-07,0.5,2017,7,"2"
2017-01-08,0.06,2017,8,"2"
2017-01-09,-0.02,2017,9,"2"
2017-01-10,0.39,2017,10,"2"
2017-01-11,0.08,2017,11,"2"
2017-01-12,0.1,2017,12,"2"
2017-01-13,0.58,2017,13,"2"
2017-01-14,0.34,2017,14,"2"
2017-01-15,0.05,2017,15,"2"
2017-01-16,0.38,2017,16,"2"
