"week_cut","stars","year","week","app"
2016-12-12,2.5,2016,50,"4"
2016-12-19,3.5,2016,51,"4"
2016-12-26,3.33333333333333,2016,52,"4"
2017-01-02,3.75,2017,1,"4"
2017-01-09,3.66666666666667,2017,2,"4"
2017-01-16,3.25,2017,3,"4"
2017-01-23,2.75,2017,4,"4"
2017-01-30,3.75,2017,5,"4"
2017-02-06,3.9,2017,6,"4"
2017-02-13,2.5,2017,7,"4"
2017-02-20,4.22222222222222,2017,8,"4"
2017-02-27,2,2017,9,"4"
2017-03-06,2.58333333333333,2017,10,"4"
2017-03-13,4.33333333333333,2017,11,"4"
2017-03-20,3.75,2017,12,"4"
2017-03-27,1.94444444444444,2017,13,"4"
2017-04-03,1.83333333333333,2017,14,"4"
2017-04-10,3.33333333333333,2017,15,"4"
2017-04-17,3,2017,16,"4"
2017-04-24,5,2017,17,"4"
2017-05-01,3.75,2017,18,"4"
2017-05-08,4.33333333333333,2017,19,"4"
2017-05-15,3.83333333333333,2017,20,"4"
2017-05-22,3.04,2017,21,"4"
2017-05-29,2.43333333333333,2017,22,"4"
2017-06-05,2.7,2017,23,"4"
2017-06-12,2.3,2017,24,"4"
2017-06-19,3.30555555555556,2017,25,"4"
2017-06-26,2.83333333333333,2017,26,"4"
